"","mpd.obs.p","mntd.obs.p","mpd.obs.p","mntd.obs.p"
"Carey_Kipuka",0.0919080919080919,0.691308691308691,0.413586413586414,0.55044955044955
"Kipuka_16",0.020979020979021,0.509490509490509,0.161838161838162,0.0929070929070929
"Kipuka_11",0.040959040959041,0.614385614385614,0.301698301698302,0.174825174825175
"Kipuka_10",0.0879120879120879,0.445554445554446,0.675324675324675,0.606393606393606
"Kipuka_680",0.833166833166833,0.363636363636364,0.255744255744256,0.290709290709291
"Kipuka_368",0.000999000999000999,0.00899100899100899,0.123876123876124,0.372627372627373
"Kipuka_671",0.298701298701299,0.152847152847153,0.0899100899100899,0.047952047952048
"Kipuka_425",0.050949050949051,0.682317682317682,0.181818181818182,0.313686313686314
"Kipuka_2",0.0609390609390609,0.116883116883117,0.716283716283716,0.637362637362637
"Kipuka_3",0.00899100899100899,0.0839160839160839,0.526473526473527,0.565434565434565
"Kipuka_13",0.00799200799200799,0.300699300699301,0.533466533466533,0.492507492507492
"Kipuka_14",0.0679320679320679,0.176823176823177,0.178821178821179,0.215784215784216
"Kipuka_620",0.0699300699300699,0.134865134865135,0.593406593406593,0.532467532467532
"Kipuka_622",0.210789210789211,0.301698301698302,0.273726273726274,0.167832167832168
"Kipuka_621",0.0689310689310689,0.1998001998002,0.514485514485514,0.723276723276723
"Kipuka_24",0.298701298701299,0.711288711288711,0.586413586413586,0.164835164835165
"Kipuka_Pratt1",0.118881118881119,0.251748251748252,0.394605394605395,0.56043956043956
"Kipuka_Pratt2",0.035964035964036,0.0809190809190809,0.0659340659340659,0.046953046953047
"Kipuka_18",0.025974025974026,0.203796203796204,0.765234765234765,0.437562437562438
"Kipuka_15",0.00599400599400599,0.004995004995005,0.824175824175824,0.583416583416583
