"ABC.med"	"ABC.low95"	"ABC.hi95"
32.6959604487055	1.45756278419867	54.0539738608059
31.2624819345073	8.21575936721638	58.0839722929522
32.8274001453537	1.63556476309896	53.1327423572075
33.3582954739687	1.63556476309896	53.1327423572075
32.7432391846086	2.44451210647821	53.9016118699219
16.2300573957619	1.64004154410213	50.4240201928187
18.69122026884	2.24499256070703	50.7958062144462
30.7137989732437	2.99091952550225	54.4948953038547
34.2654132527532	10.0265582276043	59.9433388395701
37.1177300786367	4.96894989116117	56.1203984797467
31.9768539891811	9.3072120572906	58.0839722929522
29.4500920607243	6.10952730313875	59.874448513845
32.4374394302722	8.11016495130025	56.1155228859279
29.4499770682305	9.26434113574214	59.347969207447
34.7648294445825	10.2213068143465	59.792977987323
32.4696759432554	2.92435152339749	53.6733391180169
31.7869131629122	4.96894989116117	57.4851615403313
16.4558309325948	1.40972244506702	50.9547673540656
38.4630662556738	13.0079246137757	59.7265222440474
39.3407250895398	18.123841260327	58.13773269183
